,artist,song,link,text
10,Alabama,As Right Now,/a/alabama/as+right+now_20522157.html,"You're still the lady of my dreams  
You're still my high school beauty queen  
To me it's still magic when we touch  
And I have never loved you so much  
  
As right now  
As right now  
You're still my actress on the screen  
Still the leading lady in my scenes  
  
To me it's still magic when we touch  
And I've still never loved someone so much  
As right now  
As right now  
As right now  
  
You're still the one I'm with when I'm alone  
And you're still the lover calling on my phone  
To me it's still magic when we touch  
And I will never love someone so much  
  
As right now  
As right now  
As right now  
As right now  
As right now  
As right now  
As right now

"
11,Alabama,Spin The Wheel,/a/alabama/spin+the+wheel_20694857.html,"We're standing like kids on a mineway  
Two hearts like tumbling dice  
We've lost control of the way we feel  
  
Old heartaches driving us crazy  
Is it really different this time  
We've come too far not to take a chance  
And spin the wheel  
  
Play our hearts on the line  
Risk it all one more time  
Let it all ride on the way we feel  
  
This could be another broken heart  
Or is it were true love starts  
Only one way to find out if this thing is real  
Just spin the wheel  
  
Round and round our dreams are rollin?  
Will they land on lover goodbye  
My heart?s on you head over heels  
  
All I know is when I told you  
Love is worth any chance we take  
Baby let's left the chips fall were they make  
And spin the wheel  
  
Play our hearts on the line  
Risk it all one more time  
Let it all ride on the way we feel  
  
This could be another broken heart  
Maybe this is it were true love starts  
Only one way to find out if this thing is real  
Just spin the wheel  
  
Love is worth any chance we take  
Baby let's spin the wheel  
  
Play our hearts on the line  
Risk it all one more time  
Let it all ride on the way we feel  
  
This could be another broken heart  
Or maybe this is it were true love starts  
Only one way to find out if this thing is real  
Just spin the wheel  
  
Play our hearts on the line  
Risk it all one more time  
Let it all ride on the way we feel  
Just spin the wheel  
  
Keep on spinning the wheel baby  
Round and round we go  
Spin in the wheel  
Spin the wheel  
  
Round and round we go  
And spin the wheel  
Spin the wheel

"
12,Bob Dylan,I Shall Be Free,/b/bob+dylan/i+shall+be+free_20021595.html,"Well, I took me a woman late last night,  
I's three-fourths drunk, she looked uptight.  
She took off her wheel, took off her bell,  
Took off her wig, said, ""How do I smell?""  
I hot-footed it, bare-naked  
Out the window!  
  
Well, sometimes I might get drunk,  
Walk like a duck and stomp like a skunk.  
Don't hurt me none, don't hurt my pride  
'Cause I got my little lady right by my side.  
(Right there  
Proud as can be)  
  
I's out there paintin' on the old woodshed  
When a can a black paint it fell on my head.  
I went down to scrub and rub  
But I had to sit in back of the tub.  
Cost a quarter  
And I had to get out quick  
Someone wanted to come in and take a sauna  
  
Well, my telephone rang it would not stop,  
It's President Kennedy callin' me up.  
He said, ""My friend, Bob, what do we need to make the country grow?""  
I said, ""My friend, John, Brigitte Bardot,  
Anita Ekberg,  
Sophia Loren.""  
Put 'em all in the same room with Ernest Borgnine!  
  
Well, I got a woman sleeps on a cot,  
She yells and hollers and squeals a lot.  
Licks my face and tickles my ear,  
Bends me over and buys me beer.  
(She's a honeymooner  
A June crooner  
A spoon feeder  
And a natural leader)  
  
Oh, there ain't no use in me workin' so heavy,  
I got a woman who works on the levee.  
Pumping that water up to her neck,  
Every week she sends me a monthly check.  
She's a humdinger  
Folk singer  
Dead ringer  
For a thing-a-muh jigger  
  
Late one day in the middle of the week,  
Eyes were closed I was half asleep.  
I chased me a woman up the hill,  
Right in the middle of an air raid drill.  
It was Little Bo Peep!  
(I jumped a fallout shelter  
I jumped a bean stalk  
I jumped a Ferris wheel)  
  
Now, the man on the stand he wants my vote,  
He's a-runnin' for office on the ballot note.  
He's out there preachin' in front of the steeple,  
Tellin' me he loves all kinds-a people.  
(He's eatin' bagels  
He's eatin' pizza  
He's eatin' chitlins  
He's eatin' bullshit!)  
  
Oh, set me down on a television floor,  
I'll flip the channel to number four.  
Out of the shower comes a grown-up man  
With a bottle of hair oil in his hand.  
(It's that greasy kid stuff.  
What I want to know, Mr. Football Man, is  
What do you do about Willy Mays and Yul Brynner,  
Charles de Gaulle  
And Robert Louis Stevenson?)  
  
Well, the funniest woman I ever seen  
Was the great-granddaughter of Mr. Clean.  
She takes about fifteen baths a day,  
Wants me to grow a cigar on my face.  
(She's a little bit heavy!)  
  
Well, ask me why I'm drunk alla time,  
It levels my head and eases my mind.  
I just walk along and stroll and sing,  
I see better days and I do better things.  
I catch dinosaurs  
I make love to Elizabeth Taylor  
Catch hell from Richard Burton!)

"
13,Alabama,Dixie Boy,/a/alabama/dixie+boy_20005062.html,"I was raised in the shadows of an old cotton mill  
Back when believin' was the style  
Small town heaven and a big-eyed boy  
Made sweet music for a while  
My daddy worked hard down at the factory  
Nights he went to G.I. school  
He didn't know nothin' 'bout the silver spoon  
But he lived by the golden rule  
  
Summer nights he was gone me and mama stayed home  
Out on the front porch swing  
Wishin' on the stars in the southern sky  
And sometimes we used to sing  
  
We were leaning, leaning on  
The everlasting arms of love  
Livin' all those simple joys  
This Dixie boy is made of  
  
Got my real education from the T.V. station  
And good ole boys down at the park  
The say ""Hey, Willie"" and those rock-a-billies  
Made their way into my heart  
  
I remember the old folks sittin' 'round talkin'  
On laidback Sunday afternoons  
They said them young folks sure got a hard road  
Oh, they're growin' up too soon  
  
Now I know they were right, and as I sit here tonight  
Out on the front porch swing  
The stars are shinin' in my young boy's eyes  
Just like they did for me  
  
We are leaning, leaning on  
The everlasting arms of love  
Livin' all those simple joys  
This Dixie boy is made of  
  
We are leaning, leaning on  
The everlasting arms of love  
Livin' all those simple joys  
This Dixie boy is made of

"
14,George Strait,Blue Is Not A Word,/g/george+strait/blue+is+not+a+word_20156822.html,"I've never once in my life met someone like you  
I don't know what the word blue means  
As long as I'm with you  
You fill me so completely through everything you do  
Blue is not a word at all  
As long as I'm with you  
  
Most of the time in my past  
Blue is all I knew  
But now that we're together  
O' how I love you  
I'm so glad I've found you  
You've made my dreams come true  
Blue is not a word at all  
As long as I'm with you  
  
Most of the time in my past  
Blue is all I knew  
But now that we're together  
O' how I love you  
I'm so glad I've found you  
You've made my dreams come true  
Blue is not a word at all  
As long as I'm with you

"
15,Bob Dylan,Christmas Blues,/b/bob+dylan/christmas+blues_20855183.html,"The jingle bells are jingling  
The streets  
Are white with snow  
The happy crowds are mingling  
But there's no one that I know  
  
I'm sure that you'll forgive me  
If I don't enthuse  
I guess  
I've got the Christmas blues  
  
I've done my window shopping  
There's not a store I've missed  
But what's the use of stopping  
When there's no one on your list  
  
You'll know the way I'm feeling  
When you love and you lose  
I guess  
I've got the Christmas blues  
  
When somebody wants you  
Somebody needs you  
Christmas is a joy of joys  
But friends when you're lonely  
You'll find that it's only  
A thing for little girls  
And little boys  
  
May all your days be merry  
Your seasons full of cheer  
But 'til it's January  
I'll just go and disappear  
Oh Santa  
May have brought you  
Some stars for your shoes  
  
But Santa only brought me  
The blues  
Those brightly packaged  
Tinsel covered  
Christmas blues  
  
Oh Santa  
May have brought you  
Some stars for your shoes  
But Santa only brought me  
The blues  
Those brightly packaged  
Tinsel covered  
Christmas blues

"
16,Gordon Lightfoot,Cold Hands From New York,/g/gordon+lightfoot/cold+hands+from+new+york_20061511.html,"I came down through Albany to New York  
To find what I'd been missin'  
I looked across the river to the city  
Where the windows all stood glistenin'  
I stood listenin'  
Into a tunnel I did rise, like a grave inside  
But I was young and able  
When I came out the other end  
Ah through the smoke, the winter light was feeble  
Unreadable  
I was optimistic though, a cabbie told me where to go  
I thanked him  
A face of white, a face of brown  
Ah here a smile and there a look of danger  
For a stranger  
It was too unreal for me  
I found no one who trusted me  
There was no man could offer me  
A cold hand from New York  
Cold hands from New York  
A voice within you cries, ""Won't someone please help me  
I'll do the same for you one day  
If you should ever pass my way and need me""  
I came down to live alone in New York  
The city of the living  
There were fortunes at my feet but most of men  
Were taking, none we giving  
Or forgiving  
Children ran and children played and roses grew in alleyways  
I saw them  
There were men who lived in style and others who had died  
Where no one knew them  
Beause they couldn't win  
There were parks where old men slept and dingy rooms  
Where babies crept unwanted  
Till I began to ask myself if there were hope  
Or if it mattered what they did  
Or if they lived  
It was too unreal for me  
I found no one who trusted me  
There was no man could offer me  
A cold hand from New York  
Cold hands from New York  
A voice within you cries, ""Won't someone please help me  
I'll do the same for you one day  
If you should ever pass my way and need me""  
I came down through Albany to New York  
To find what I'd been missin'  
I looked across the river to the city  
Where the windows all stood glistenin'  
I stood listenin'  
And there were prophets in the squares  
And people there who smiled and said, ""Forget it""  
There were lovers in the park  
And there was danger in the dark, I felt it  
So afraid of it  
And there were preachers of the Word and poets  
Who were never heard, I heard them  
There were those who would not try to learn  
The measure of the lie they're livin'  
I heard a young musician play in a place  
Where they paid you not to listen  
I heard a woman scream for help while men stood by  
And offered their best wishes  
That's how it is  
It was too unreal for me  
I found no one who trusted me  
There was no man could offer me  
A cold hand from New York  
Cold hands from New York  
A voice within you cries, ""Won't someone please help me  
I'll do the same for you one day  
If you should ever pass my way and need me""  
Cold hands from New York  
A voice within you cries, ""Won't someone please help me  
I'll do the same for you one day  
If you should ever pass my way and need me""  
Cold hands from New York  
A voice within you cries, ""Won't someone please help me  
I'll do the same for you one day  
If you should ever pass my way and need me""  

"
17,Bob Dylan,Absolutely Sweet Marie,/b/bob+dylan/absolutely+sweet+marie_20021179.html,"Well, your railroad gage, you know I just can't jump it  
Sometimes it gets so hard, you see  
I'm just sitting here beating on my trumpet  
With all these promises you left for me  
But where are you tonight, sweet Marie?  
  
Well, I waited for you when I was half sick  
Yes, I waited for you when you hated me  
Well, I waited for you inside of the frozen traffic  
When you knew I had some other place to be  
Now where are you tonight, sweet Marie?  
  
Well, anybody can be just like me, obviously  
But then, now again, not too many can be like you, fortunately.  
  
Well, six white horses that you did promise  
Were fin'ly delivered down to the penitentiary  
But to live outside the law, you must be honest  
I know you always say that you agree  
But where are you tonight, sweet Marie?  
  
Well I don't know how it happened  
But the river-boat captain he knows my fate  
But ev'rybody else, even yourself  
They're just gonna have to wait.  
  
Well, I got the fever down in my pockets  
The Persian drunkard, he follows me  
Yes, I can take him to your house but I can't unlock it  
You see, you forgot to leave me with the key  
Oh, where are you tonight, sweet Marie?  
  
Now, I been in jail when all my mail showed  
That a man can't give his address out to bad company  
And now I stand here lookin' at your yellow railroad  
In the ruins of your balcony  
Wond'ring where you are tonight, sweet Marie?

"
18,Gordon Lightfoot,I'll Be Alright,/g/gordon+lightfoot/ill+be+alright_20061687.html,"I'll be alright I'll be alright if I don't have to smile  
If I don't to face the morning sunrise for a while  
I'll get along you know I'll take tomorrow with a grin  
If I never have to think about her love again  
  
And I won't mind if words are spoken  
In empty love songs as long as I don't have to hear  
I'll be alright if I don't have to face the world again  
And if I never love again I'll be alright  
  
Last night she gave the final word, she said her last goodbye  
And disappeared forever in the world outside  
One kiss and then she took her leave to go I know not where  
Into the misty shadows of the midnight air  
  
But I won't mind if words are spoken  
In empty love songs as long as I don't have to hear  
I'll be alright if I don't have to face the world again  
And if I never love again I'll be alright  
And if I never love again I'll be alright

"
19,Gordon Lightfoot,The First Time Ever I Saw Your Face,/g/gordon+lightfoot/the+first+time+ever+i+saw+your+face_20061607.html,"The first time ever I saw your face  
I thought the sun rose in your eyes  
And the moon and the stars were the gifts you gave  
To the night and the empty skies my love  
To the night and the empty skies  
  
The first time ever I kissed your mouth  
I felt the earth turn in my hand  
Like the trembling heart of a captive bird  
That was there at my command my love  
That was there at my command  
  
The first time ever I lay with you  
And felt your heart beat close to mine  
I thought our joy would fill the earth  
And would last 'till the end of time my love  
And would last 'till the end of time  
  
The first time ever I saw your face  
I thought the sun rose in your eyes  
And the moon and the stars were the gifts you gave  
To the night and the empty skies my love  
To the night and the empty skies

"
20,Gordon Lightfoot,End Of All Time,/g/gordon+lightfoot/end+of+all+time_20802149.html,"Oft times, I recall how it was in days gone by  
No tears at all, now you better not make me cry  
Because you know darn well  
I may ring your bell  
Is there anybody home?  
Is there anyone in there?  
Who can tell me where I am?  
Oft times, I recall when there wasn't no need to lie  
So much was said but we never did say goodbye  
Oh, how I long to hear you whisper in my ear  
Is there anybody home, don't you know I'm all alone?  
Can you tell me where I am?  
All I can do is love you 'til the end of all time  
One day, time will tell when you're living in yesterday  
Thinking of things to do, thinking of things to say  
Thinking of things divine, find a bottom line  
Is there anybody home?  
Is there anyone in there?  
Who can tell me where I am  
Oft times I recall, I was thinking of ways to win  
Ready to risk it, all until it wore thin  
Oh, how I long to hear you whisper in my ear  
Is there anybody home, don't you know, I'm all alone  
Can you tell me where I am?  
All I can do, is love you 'til the end of all time  
All I can do is love you 'til the end of all time  

"
21,George Strait,Carried Away,/g/george+strait/carried+away_20059413.html,"I don't take my whiskey to extremes  
Don't believe in chasin' crazy dreams  
My feet are planted firmly on the ground  
But darlin' when you come around  
  
[Chorus]  
I get carried away by the look by the light in your eyes  
Before I even realize the ride I'm on  
Baby I'm long gone  
I get carried away nothin' matters but bein' with you  
Like a feather flyin' high up in the sky on a windy day  
I get carried away  
  
It might seem like an ordinary night  
Same ol' stars same ol' moon up high  
But when I see you standin' at your door  
Nothin's ordinary anymore  
  
[Chorus: x2]  
  
Carried away

"
22,Bob Dylan,Disease Of Conceit,/b/bob+dylan/disease+of+conceit_20021470.html,"There's a whole lot of people suffering tonight from the disease of conceit  
Whole lot of people struggling tonight from the disease of conceit  
Comes right down the highway straight down the line  
Rips into your senses through your body and your mind  
Nothing about it that's sweet  
The disease of conceit.  
  
There's a whole lot of hearts breaking tonight from the disease of conceit  
Whole lot of hearts shaking tonight from the disease of conceit  
Steps into your eats into your soul  
Over your senses you have no control  
Ain't nothing too discreet about the disease of conceit.  
  
There's a whole lot of people dying tonight from the disease of conceit  
Whole lot of people crying tonight from the disease of conceit  
Comes right out of nowhere and you're down for the count  
From the outside world the pressure will mount  
Turn you into a piece of meat  
The disease of conceit.  
  
Conceit is the disease that the doctors got no cure  
They've done a lot of research on it but what it is they're still not sure.  
  
There's a whole lot of people in trouble tonight from the disease of conceit  
Whole lot of people seeing trouble tonight fro the disease of conceit  
Give you delusions of grandeur an evil eye  
Give you the idea that you're too good to die  
The they bury you from head to feet  
From the disease of conceit.

"
23,George Strait,I Aint' Her Cowboy Anymore,/g/george+strait/i+aint+her+cowboy+anymore_20713285.html,"I pack up my saddle  
Throw it in that two-horse trailer  
Back up my truck, hook 'em up  
And drive away  
Won't be the first time  
But this time's the last time  
She meant it when she said  
That's all I've got to say  
Never had been thrown like this before  
I ain't her cowboy anymore  
  
Never saw it comin'  
But I knew where it was goin'  
When she asked how long this time  
Before I hit the road  
She didn't come right out and say it  
But I sure got the message  
When I reached out to hold her  
That shoulder sure was cold  
Figured I'd just let goodbye run its course  
I ain't her cowboy anymore  
  
[Chorus]  
These white lines are a blur  
Like the last few nights I spent with her  
I don't know where I went wrong  
Or if I did  
Like the good ol' boy I am  
I told her that I understand  
But Lord knows that I won't long as I live  
Seems lately every time it rains it pours  
I ain't her cowboy anymore  
  
We met in Denver  
Settled down in Dallas  
The best days of my life  
Were the ones I spent with her  
You'd think that all that lovin' ought to count for something  
Guess I wore out my welcome  
Like the rowels of these old spurs  
That Casper sunset's what I'm shootin' for  
'Cause I ain't her cowboy anymore  
  
[Chorus]  
  
Her cowboy anymore  
I ain't her cowboy anymore

"
24,Bob Dylan,Denise,/b/bob+dylan/denise_20183774.html,"By Bob Dylan  
  
Denise, Denise,  
Gal, what's on your mind?  
Denise, Denise,  
Gal, what's on your mind?  
You got your eyes closed,  
Heaven knows that you ain't blind.  
  
Well, I can see you smiling,  
But oh your mouth is inside out.  
I can see you smiling,  
But you're smiling inside out.  
Well, I know you're laughin'  
But what are you laughin' about.  
  
Well, if you're tryin' to throw me,  
Babe, I've already been tossed.  
If you're tryin' to throw me,  
Babe, I've already been tossed.  
Babe, you're tryin' to lose me.  
Babe, I'm already lost.  
  
Well, what are you doing,  
Are you flying or have you flipped?  
Oh, what are you doing,  
Are you flying or have you flipped?  
Well, you call my name  
And then say your tongue just slipped.  
  
Denise, Denise,  
You're concealed here on the shelf.  
Denise, Denise,  
You're concealed here on the shelf.  
I'm looking deep in your eyes, babe,  
And all I can see is myself.

"
25,George Strait,Baby Your Baby,/g/george+strait/baby+your+baby_20059565.html,"All you know it all lovers better heed some advice,  
If you're bad to your baby, you'd better think twice.  
Love don't come easy, love ain't blind.  
You've got to show her you love her, morning and night,  
Be there for her just to make things right.  
Make her believe till there ain't a doubt in her mind.  
  
[Chorus]  
Better baby your baby with a love that's strong,  
Hold her and tell her you'll never do wrong.  
Better baby your baby, ?cause if you don't  
One day your baby?ll be gone.  
  
Don't let her get lonely, don't make her cry,  
Don't take her for granted, don't tell her a lie.  
Bring her red roses when she's blue.  
Give her the best of what you've got to give,  
You'll be together as long as you live,  
Better baby your baby, she?ll baby you.  
  
[Chorus]

"
26,Gordon Lightfoot,Same Old Loverman,/g/gordon+lightfoot/same+old+loverman_20061648.html,"I'm not some long lost someone  
Just dropped in to say hello  
It's that same old lover man  
Baby you lost so long ago  
'Cause I was born to believe  
I never could deceive, believe me  
I hear no children's voices  
Have they gone back to school  
And that same old lover man  
Is still acting like a fool  
I guess I was born to bring you grief  
Though I never was a thief, believe me  
It's cold outside your window  
Please let me in, the night is wild  
It's that same old lover man  
Not some lonesome winsome child  
An' I was born to believe  
I never could deceive  

"
27,Alabama,Southern Star,/a/alabama/southern+star_20316335.html,"Oh, southern star, how I wish you would shine  
And show me the way to get home  
Well I'm blue-collar branded, and stuck in a mill  
Hard work is a way of life for me  
  
Well I'm too young to live like I'm over the hill  
And too old to be wild and free  
My heart is onward bound I'm rolling with the feeling and I can't slow down  
I need a guiding light shining down to lead me through the night  
  
Oh southern star, how I wish you would shine  
And show me the way to get home  
Oh, hey my DJ friend, would you play me one more song  
And let my mind just go and drift away  
  
Now we all have a dream and a place where we belong  
Somewhere we can go and escape  
My heart is onward bound I'm rolling with the feeling and I can't slow down  
I need a guiding light shining down to lead me through the night  
  
Oh, southern star, how I wish you would shine  
And show me the way to get home  
Oh, southern star, how I wish you would shine  
And show me the way to get home

"
28,Alabama,American Pride,/a/alabama/american+pride_20262200.html,"American pride something you feel inside  
Something you can't describe American pride  
Dad said, ""Son I'm proud you won  
But the game is more than any toy""  
Mama said, ""Now Son say sir and say ma'am  
And be proud you're southern born""  
You play when you're hurt and you work when you're tired  
'Cause that was Grandpa's way  
And the biscuits are better at Granny's house  
And the gravy taste great all day  
American pride yes it is something you feel inside  
Something you can't describe, something you cannot hide  
American pride something you feel inside  
Traditions run deep and wide with American pride  
When a baby is born we all celebrate  
With tears of joy in family eyes  
'Cause we all know the baby will grow up with American pride  
Yeah we work and we play and we have our own ways  
And we don't all look alike  
But if the cause is right we stand up and fight  
To protect our American pride  
Sing it, sing it, sing it  
American pride yes it is something you feel inside  
It's something you can't describe, it's something you can't hide  
American pride something you feel inside  
Traditions run deep and wide with American pride  
With American pride, it's American pride

"
29,Bob Dylan,Hark! The Herald Angels Sing,/b/bob+dylan/hark+the+herald+angels+sing_20855082.html,"Hark! the herald angels sing  
""Glory to the newborn King  
Peace on earth and mercy mild,  
God and sinners reconciled!""  
Joyful, all ye nations rise,  
Join the triumph of the skies,  
With angelic host proclaim  
""Christ is born in Bethlehem!""  
Hark! the herald angels sing  
""Glory to the newborn King!""  
  
Hark! the herald angels sing  
""Glory to the newborn King  
Peace on earth and mercy mild,  
God and sinners reconciled!""  
Joyful, all ye nations rise,  
Join the triumph of the skies,  
With angelic host proclaim  
""Christ is born in Bethlehem!""  
Hark! the herald angels sing  
""Glory to the newborn King!""

"
